@relation detodo
@attribute Expedient real [1,150]
@attribute Exercici-AC1 {7.9,10.0,NP,7.2,9.3,5.7,6.8,6.5,7.1,6.9,3.2,5.2,7.0,8.6,5.5,5.8,4.8,5.1,6.7,8.3,4.4,6.6,9.0,3.9,5.0,9.5,4.6}
@attribute Exercici-AC2 {NP,7.75,7.0,5.5,4.5,8.75,8.25,7.25,3.0,6.25,5.0,6.5,0.0,8.0,6.0,6.75,5.75,9.75,7.5,3.75,8.5,3.25,3.5,4.75,9.25,5.25,9.0,1.0,4.25,1.25,4.0,1.75}
@attribute Midterm {6.5,6.6,4.6,5.3,6.35,5.0,5.45,5.55,4.15,6.25,4.3,3.85,4.85,0.25,1.95,3.75,NP,3.1,6.9,2.3,6.0,3.7,6.2,1.8,7.6,3.6,2.95,6.65,5.6,2.6,5.7,3.3,6.15,1.9,7.05,7.1,4.35,8.0,4.25,8.55,3.5,2.75,1.3,4.5,7.0,7.8,4.2,7.45,4.1,1.2,1.1,2.0,4.8,5.9,7.2,3.8,2.05,3.25,3.55,5.4,8.1,7.5,3.4,7.85,8.7,1.0,5.75,4.0,5.85,3.0,6.95,3.65,8.45,5.35,6.7,2.55,2.5,3.95,7.35,2.25}
@attribute Exercici-AC3 {2.0,NP,10.0,4.0,7.0}
@attribute ExamenFebrer {5.5,6.0,NP,5.75,4.15,3.4,5.0,8.0,8.35,7.2,4.0,2.5,2.05,6.5,4.45,5.65,4.2,2.75,7.9,7.55,7.45,1.35,7.85,3.15,4.05,4.55,5.05,6.9,7.05,4.3,6.15,5.4,1.1,9.7,4.6,6.05,6.65,9.25,8.55,2.9,3.0,4.25,5.6,2.15,6.6,5.8,7.25,3.35,3.3,3.9,6.25,7.6,3.1,1.6,5.15,3.55,2.85,8.15,1.05,8.7,3.85,7.7,0.5,5.2,6.45,5.25,3.75,3.25,1.85,2.35,2.4,5.85,6.2,5.9,3.8}
@attribute sumFEBRER real [0,5.82]
@attribute sumMIDTERM real [0,1.74]
@attribute sumAC1 real [0,0.666667]
@attribute sumAC2 real [0,0.65]
@attribute sumAC3 real [0,0.666667]
@attribute resultat real [0,8.92333]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
109,9.3,NP,4.0,NP,6.6,3.96,0.8,0.62,0,0,5.38,APROBADO
61,8.3,8.75,4.5,10.0,4.55,2.73,0.9,0.553333,0.583333,0.666667,5.43333,APROBADO
128,9.5,6.75,6.7,10.0,5.05,3.03,1.34,0.633333,0.45,0.666667,6.12,BIEN
120,7.9,5.5,6.95,10.0,5.6,3.36,1.39,0.526667,0.366667,0.666667,6.31,BIEN
132,9.0,9.0,4.8,10.0,5.8,3.48,0.96,0.6,0.6,0.666667,6.30667,BIEN
33,5.2,3.0,2.95,2.0,5.05,3.03,0.59,0.346667,0.2,0.133333,4.3,SUSPENDIDO
54,5.8,7.25,4.25,NP,3.15,0,0.85,0.386667,0.483333,0,1.72,SUSPENDIDO
116,9.3,9.0,3.0,10.0,3.35,0,0.6,0.62,0.6,0.666667,2.48667,SUSPENDIDO
43,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
86,7.9,6.5,3.8,2.0,5.05,3.03,0.76,0.526667,0.433333,0.133333,4.88333,SUSPENDIDO
73,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
94,5.8,5.5,5.0,2.0,3.55,2.13,1,0.386667,0.366667,0.133333,4.01667,SUSPENDIDO
149,5.2,NP,NP,NP,NP,0,0,0.346667,0,0,0.346667,SUSPENDIDO
78,5.1,5.75,1.1,NP,3.35,0,0.22,0.34,0.383333,0,0.943333,SUSPENDIDO
137,9.3,7.25,6.7,10.0,6.2,3.72,1.34,0.62,0.483333,0.666667,6.83,NOTABLE
129,6.5,8.75,7.0,10.0,7.9,4.74,1.4,0.433333,0.583333,0.666667,7.82333,NOTABLE
97,7.1,6.25,8.1,10.0,7.9,4.74,1.62,0.473333,0.416667,0.666667,7.91667,NOTABLE
53,9.3,8.75,6.2,10.0,9.25,5.55,1.24,0.62,0.583333,0.666667,8.66,EXCELENTE
